Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
UST;Uster;UST;Uster;740;81.35047;Rapperswil - Uster - Wallisellen Ost;SBB;2696718.593;1245179.255;47.3503689645,8.71870911871;8503125;3125;Uster;http://lod.opentransportdata.swiss/didok/8503125
VER;Les Verrieres;VER;Les Verrieres;219;39.36;Auvernier - Les Verrieres frontiere;SBB;2526916.477;1195361.243;46.9053266233,6.4793928593;8504211;4211;Les Verrières;http://lod.opentransportdata.swiss/didok/8504211
VERF;Les Verrieres-Frontiere;VERF;Les Verrieres-Frontiere;218;464.84;Frasne - Les Verrieres frontiere;SBB;2525354.483;1194695.578;46.8991654129,6.45900258079;8504210;4210;Les Verrières-Frontière;http://lod.opentransportdata.swiss/didok/8504210
VERF;Les Verrieres-Frontiere;VERF;Les Verrieres-Frontiere;219;41.065;Auvernier - Les Verrieres frontiere;SBB;2525354.483;1194695.578;46.8991654129,6.45900258079;8504210;4210;Les Verrières-Frontière;http://lod.opentransportdata.swiss/didok/8504210
VI;Visp;VI;Visp;100;136.6589;Lausanne - Simplon Tunnel I - Iselle;SBB;2634122.601;1127053.424;46.2940290995,7.88146546248;8501605;1605;Visp;http://lod.opentransportdata.swiss/didok/8501605
VSX;Versoix;VSX;Versoix;150;51.954;Lausanne - Geneve-Aeroport;SBB;2501891.6726;1126165.2135;46.2797271531,6.16574125903;8501022;1022;Versoix;http://lod.opentransportdata.swiss/didok/8501022
VU;Vufflens-la-Ville;VU;Vufflens-la-Ville;200;10.9739;Renens VD Ouest - Vallorbe;SBB;2530406.445;1158733.846;46.5762450174,6.53076766423;8501116;1116;Vufflens-la-Ville;http://lod.opentransportdata.swiss/didok/8501116
W;Winterthur;W;Winterthur;751;26.14175;ZH Langstr. - Wallisellen - Winterthur;SBB;2696831.696;1261857.004;47.5003337739,8.72382110762;8506000;6000;Winterthur;http://lod.opentransportdata.swiss/didok/8506000
WAST;Walterswil-Striegel;WAST;Walterswil-Striegel;504;4.93943;Zofingen - Suhr;SBB;2639659.338;1241138.107;47.3199235956,7.96320362872;8502121;2121;Walterswil-Striegel;http://lod.opentransportdata.swiss/didok/8502121
WD;Wiesendangen;WD;Wiesendangen;840;31.9436;Winterthur Nord - Romanshorn;SBB;2700717.77;1264725.291;47.5255430283,8.77603800105;8506017;6017;Wiesendangen;http://lod.opentransportdata.swiss/didok/8506017
WE;Wettingen;WE;Wettingen;710;20.33388;Zurich HB - Brugg AG;SBB;2666157.533;1256909.116;47.4596382122,8.31600613226;8503505;3505;Wettingen;http://lod.opentransportdata.swiss/didok/8503505
WF;Weinfelden;WF;Weinfelden;831;19.17482;Weinfelden - Tagermoos;SBB;2725494.691;1269723.992;47.5662242454,9.10636820814;8506105;6105;Weinfelden;http://lod.opentransportdata.swiss/didok/8506105
WFKV;Weinfelden KVA Thurgau (Abzw);WFKV;Weinfelden KVA Thurgau (Abzw);840;61.28927;Winterthur Nord - Romanshorn;SBB;2727082.292;1268872.796;47.5582652474,9.12721647947;8506117;6117;Weinfelden KVA Thurgau (Abzw);http://lod.opentransportdata.swiss/didok/8506117
WGR;Winterthur Gruze;WGR;Winterthur Gruze;754;2.51899;Winterthur Gruze - Bauma - Ruti ZH West;SBB;2698886.368;1261715.421;47.4987547049,8.75105522894;8506001;6001;Winterthur Grüze;http://lod.opentransportdata.swiss/didok/8506001
WGR;Winterthur Gruze;WGR;Winterthur Gruze;850;135.2914;St.Gallen - Winterthur Nord;SBB;2698886.368;1261715.421;47.4987547049,8.75105522894;8506001;6001;Winterthur Grüze;http://lod.opentransportdata.swiss/didok/8506001
WIG;Wiggen;WIG;Wiggen;460;48.268;Gumligen Sud - Fluhmuhle;SBB;2635261.298;1194410.081;46.8998680472,7.9013912567;8508209;8209;Wiggen;http://lod.opentransportdata.swiss/didok/8508209
WIL;Wil SG;WIL;Wil SG;830;-0.00332;Wil - Weinfelden;SBB;2720811.768;1258081.406;47.4624132783,9.04099307807;8506206;6206;Wil SG;http://lod.opentransportdata.swiss/didok/8506206
WIN;Winkel am Zurichsee;WIN;Winkel am Zurichsee;730;14.58931;Zurich Stadelhofen - Rapperswil;SBB;2687760.999;1239128.751;47.2972078361,8.59898832243;8503111;3111;Winkel am Zürichsee;http://lod.opentransportdata.swiss/didok/8503111
WITZ;Witzberg (Agl);WITZ;Witzberg (Agl);753;9.95732;Effretikon - Wetzikon - Hinwil;SBB;2700554.039;1247866.887;47.3739649499,8.77006581572;8503335;3335;Witzberg (Agl);http://lod.opentransportdata.swiss/didok/8503335
WKD;Wankdorf (Abzw);WKD;Wankdorf (Abzw);290;109.48385;Bern Wylerfeld - Thun;SBB;2602549.953;1201583.823;46.9653248638,7.47213750786;8507044;7044;Wankdorf (Abzw);http://lod.opentransportdata.swiss/didok/8507044
WNO;Winterthur Nord;W;Winterthur;751;26.48731;ZH Langstr. - Wallisellen - Winterthur;SBB;2696979.178;1262169.787;47.5031248493,8.72584628608;8515484;15484;Winterthur Nord;http://lod.opentransportdata.swiss/didok/8515484
WNO;Winterthur Nord;W;Winterthur;850;137.46288;St.Gallen - Winterthur Nord;SBB;2696979.178;1262169.787;47.5031248493,8.72584628608;8515484;15484;Winterthur Nord;http://lod.opentransportdata.swiss/didok/8515484
WOET;Woschnau Tunnel;WOES;Woschnau SBB;649;42.55557;Aarau - Woschnau Tunnel alt;SBB;2645280.399;1248740.269;47.3879361988,8.03831909358;8515271;15271;Wöschnau Tunnel;http://lod.opentransportdata.swiss/didok/8515271
WON;Wohlen Nord (Abzw);WO;Wohlen AG;657;0.0;Wohlen - Villmergen;SBB;2662480.093;1244833.211;47.3513909044,8.2655524351;8515433;15433;Wohlen Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515433
WOSU;Wohlen Sud (Abzw);WO;Wohlen AG;655;0.49637;Wohlen BDWM - Bremgarten West;SBB;2663136.172;1244121.679;47.3449290398,8.27413479753;8515434;15434;Wohlen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515434
WSO;Wallisellen Ost (Abzw);WS;Wallisellen;740;92.58867;Rapperswil - Uster - Wallisellen Ost;SBB;2687644.388;1251739.811;47.410638716,8.59991424311;8515486;15486;Wallisellen Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515486
WST;Werthenstein;WST;Werthenstein;460;76.1464;Gumligen Sud - Fluhmuhle;SBB;2650389.006;1211990.323;47.0570251079,8.10186329428;8508216;8216;Werthenstein;http://lod.opentransportdata.swiss/didok/8508216
WUE;Wunnewil;WUE;Wunnewil;250;80.34335;Lausanne Est - Bern;SBB;2587955.905;1191205.188;46.8718609626,7.28065421196;8504113;4113;Wünnewil;http://lod.opentransportdata.swiss/didok/8504113
WWE;Winterthur West (Abzw);W;Winterthur;769;1.00154;Winterthur West - Bulach;SBB;2696354.88;1260972.752;47.4924520444,8.71730239668;8506032;6032;Winterthur West (Abzw);http://lod.opentransportdata.swiss/didok/8506032
WZ;Wetzikon;WZ;Wetzikon;753;18.10051;Effretikon - Wetzikon - Hinwil;SBB;2702339.572;1241677.804;47.3180315958,8.79228970642;8503123;3123;Wetzikon;http://lod.opentransportdata.swiss/didok/8503123
ZAF;Zurich Affoltern;ZAF;Zurich Affoltern;703;26.14225;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2680736.318;1252783.586;47.4209089813,8.50858258494;8503008;3008;Zürich Affoltern;http://lod.opentransportdata.swiss/didok/8503008
ZAFA;Zurich Affoltern (Abzw);ZAFA;Zurich Affoltern (Abzw);703;27.18287;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2679762.473;1253149.218;47.4243159042,8.49574347665;8519176;19176;Zürich Affoltern (Abzw);http://lod.opentransportdata.swiss/didok/8519176
ZAS;Zurich Altstetten;ZAS;Zurich Altstetten;708;4.1655;Zurich Altstetten - Einfang;SBB;2679299.727;1249492.217;47.3914830997,8.48896269022;8503001;3001;Zürich Altstetten;http://lod.opentransportdata.swiss/didok/8503001
ZAS;Zurich Altstetten;ZAS;Zurich Altstetten;711;4.16414;ZH Hardbrucke - Kollermuhle;SBB;2679299.727;1249492.217;47.3914830997,8.48896269022;8503001;3001;Zürich Altstetten;http://lod.opentransportdata.swiss/didok/8503001
ZASO;Zurich Altstetten Ost (Abzw);ZAS;Zurich Altstetten;714;3.71936;Zurich - Altstetten (Sudeinfahrt);SBB;2679763.344;1249396.732;47.3905683484,8.49508551423;8515487;15487;Zürich Altstetten Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515487
ZASS;Zurich Altstetten Sud (Abzw);ZAS;Zurich Altstetten;711;3.89021;ZH Hardbrucke - Kollermuhle;SBB;2679560.996;1249408.529;47.390698939,8.49240795429;8515488;15488;Zürich Altstetten Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515488
ZASS;Zurich Altstetten Sud (Abzw);ZAS;Zurich Altstetten;719;3.90619;ZH Langstrasse - ZH Altstetten Sud;SBB;2679560.996;1249408.529;47.390698939,8.49240795429;8515488;15488;Zürich Altstetten Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515488
ZBO;Ziegelbrucke Ost (Abzw);ZB;Ziegelbrucke;890;33.20503;Sargans Ost - Ziegelbrucke;SBB;2723312.261;1221602.109;47.133909193,9.06412506471;8515489;15489;Ziegelbrücke Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515489
ZGO;Zug Oberwil;ZGO;Zug Oberwil;665;3.135;Zug Sud - Arth-Goldau;SBB;2681253.468;1222410.829;47.1476836504,8.50994054342;8502231;2231;Zug Oberwil;http://lod.opentransportdata.swiss/didok/8502231
ZHDB;Zurich Hardbrucke;ZHDB;Zurich Hardbrucke;711;1.91229;ZH Hardbrucke - Kollermuhle;SBB;2681435.526;1248822.322;47.385197873,8.51712625407;8503020;3020;Zürich Hardbrücke;http://lod.opentransportdata.swiss/didok/8503020
ZHDB;Zurich Hardbrucke;ZHDB;Zurich Hardbrucke;760;0.21124;Zurich Hardbrucke  - Bulach;SBB;2681435.526;1248822.322;47.385197873,8.51712625407;8503020;3020;Zürich Hardbrücke;http://lod.opentransportdata.swiss/didok/8503020
ZIM;Zimeysa;ZIM;Zimeysa;151;66.965;Geneve St-Jean - La Plaine-Frontiere;SBB;2494089.894;1119794.239;46.221239603,6.06598529651;8501000;1000;Zimeysa;http://lod.opentransportdata.swiss/didok/8501000
ZLOE;Zurich HB Lowenstrasse;ZLOE;Zurich HB Lowenstrasse;748;200.85983;ZH Altstetten - ZH Oerlikon, DML;SBB;2683107.302;1248023.63;47.3778062043,8.53911533699;8516144;16144;Zürich HB Löwenstrasse;http://lod.opentransportdata.swiss/didok/8516144
ZLOG;Zurich Lochergut (Abzw);ZWIE;Zurich Wiedikon;720;2.2271;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2681563.046;1247877.651;47.376686316,8.51864269239;8515627;15627;Zürich Lochergut (Abzw);http://lod.opentransportdata.swiss/didok/8515627
ZLST;Zurich Langstrasse;ZUE;Zurich HB;709;0.87795;Zue Vorbahnhof Nord - Zurich Altstetten;SBB;2682329.779;1248396.929;47.3812610413,8.52888957824;8503047;3047;Zürich Langstrasse;http://lod.opentransportdata.swiss/didok/8503047
ZMUE;Zurich Mulligen;ZMUE;Zurich Mulligen;708;5.67811;Zurich Altstetten - Einfang;SBB;2677891.062;1250043.027;47.3966048344,8.47040271047;8503039;3039;Zürich Mülligen;http://lod.opentransportdata.swiss/didok/8503039
ZOEN;Zurich Oerlikon Nord (Abzw);ZOER;Zurich Oerlikon;752;5.32536;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB;2683797.603;1252254.489;47.4157681408,8.54904766734;8515494;15494;Zürich Oerlikon Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515494
ZOL;Zollikofen;ZOL;Zollikofen;450;98.806;Olten Sud - Bern;SBB;2601846.567;1205641.445;47.0018259804,7.46291123529;8504410;4410;Zollikofen;http://lod.opentransportdata.swiss/didok/8504410
ZSEO;Zurich Seebach Ost (Abzw);ZSEB;Zurich Seebach;706;5.45909;Zurich Seebach - Glattbrugg Sud;SBB;2683665.601;1252594.808;47.4188455059,8.54736244907;8515496;15496;Zürich Seebach Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515496
ZTB;Zurich Tiefenbrunnen;ZTB;Zurich Tiefenbrunnen;9728;0.052;Riesbachtunnel II;SBB;2684833.357;1244970.095;47.3501246373,8.56138988846;8503004;3004;Zürich Tiefenbrunnen;http://lod.opentransportdata.swiss/didok/8503004
ZUE;Zurich HB;ZUE;Zurich HB;710;0.0;Zurich HB - Brugg AG;SBB;2683189.561;1248065.978;47.3781766923,8.54021233623;8503000;3000;Zürich HB;http://lod.opentransportdata.swiss/didok/8503000
ZVB;Zurich Vorbahnhof;ZVB;Zurich Vorbahnhof;719;1.9616;ZH Langstrasse - ZH Altstetten Sud;SBB;2681364.531;1248735.091;47.384422153,8.51617021319;8503025;3025;Zürich Vorbahnhof;http://lod.opentransportdata.swiss/didok/8503025
ZVB;Zurich Vorbahnhof;ZVB;Zurich Vorbahnhof;748;198.9245;ZH Altstetten - ZH Oerlikon, DML;SBB;2681364.531;1248735.091;47.384422153,8.51617021319;8503025;3025;Zürich Vorbahnhof;http://lod.opentransportdata.swiss/didok/8503025
ZVBW;Zurich Vorbahnhof West;ZVB;Zurich Vorbahnhof;719;2.80958;ZH Langstrasse - ZH Altstetten Sud;SBB;2680603.997;1249104.196;47.3878351895,8.50616593327;8503026;3026;Zürich Vorbahnhof West;http://lod.opentransportdata.swiss/didok/8503026
AAGB;Aarau GB;AAGB;Aarau GB;650;40.309;Killwangen West - Lenzburg - Daniken Ost;SBB;2647397.625;1249489.859;47.394529127,8.06643793149;8502136;2136;Aarau GB;http://lod.opentransportdata.swiss/didok/8502136
AAT;Aathal;AAT;Aathal;740;77.38112;Rapperswil - Uster - Wallisellen Ost;SBB;2700290.162;1243636.271;47.3359591251,8.76562510867;8503124;3124;Aathal;http://lod.opentransportdata.swiss/didok/8503124
ABE;Aarberg;ABE;Aarberg;251;95.49304;Palezieux Est - Lyss Nord;SBB;2587845.752;1210402.487;47.0445413042,7.27869253926;8504404;4404;Aarberg;http://lod.opentransportdata.swiss/didok/8504404
ABO;Aarburg-Oftringen;ABO;Aarburg-Oftringen;500;43.00505;Basel SBB - Olten - Luzern;SBB;2635502.466;1241150.149;47.3202684783,7.90822265971;8502000;2000;Aarburg-Oftringen;http://lod.opentransportdata.swiss/didok/8502000
ABOS;Aarburg-Oftringen Sud (Abzw);ABO;Aarburg-Oftringen;452;0.83337;Rothrist - Zofingen (Kriegsschlaufe);SBB;2636164.469;1240407.291;47.3135510897,7.91691900278;8502013;2013;Aarburg-Oftringen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8502013
ABOW;Aarburg-Oftringen West (Abzw);ABO;Aarburg-Oftringen;451;43.97183;Aarburg-Oftringen - Rothrist Gleis 1;SBB;2635404.732;1240413.368;47.3136469403,7.90687178422;8508141;8141;Aarburg-Oftringen West (Abzw);http://lod.opentransportdata.swiss/didok/8508141
ALN;Altnau;ALN;Altnau;824;92.91919;Romanshorn - Konstanz;SBB;2737355.627;1276121.225;47.6213679766,9.265918;8506125;6125;Altnau;http://lod.opentransportdata.swiss/didok/8506125
ALRH;Altenrhein;ALRH;Altenrhein;880;61.77879;Sargans Ost - St.Gallen;SBB;2758932.131;1261244.738;47.4827470114,9.54750971088;8515444;15444;Altenrhein;http://lod.opentransportdata.swiss/didok/8515444
ALSA;Al Sasso;ALSA;Al Sasso;606;160.0138;Al Sasso - Al Motto (binario sinistro);SBB;2717375.235;1111705.581;46.1466113253,8.95783539794;8515374;15374;Al Sasso;http://lod.opentransportdata.swiss/didok/8515374
ALT;Altstatten SG;ALT;Altstatten SG;880;41.17789;Sargans Ost - St.Gallen;SBB;2759936.697;1249202.59;47.3742348063,9.55651992327;8506319;6319;Altstätten SG;http://lod.opentransportdata.swiss/didok/8506319
ARCA;Archy A (bif);ARCY;Archy (bif);166;5.90939;Renens VD Ouest - Lausanne-Triage Est;SBB;2532895.621;1155064.448;46.5434936029,6.56377167989;8515301;15301;Archy A (bif);http://lod.opentransportdata.swiss/didok/8515301
ARCA;Archy A (bif);ARCY;Archy (bif);168;5.90939;Archy A - Lausanne-Triage Nord;SBB;2532895.621;1155064.448;46.5434936029,6.56377167989;8515301;15301;Archy A (bif);http://lod.opentransportdata.swiss/didok/8515301
ARCH;Arch;ARCH;Arch;415;90.98034;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2598472.96;1223722.804;47.1644670189,7.41848919114;8500223;223;Arch;http://lod.opentransportdata.swiss/didok/8500223
ARN;Arnegg;ARN;Arnegg;852;18.58709;Sulgen - Gossau SG;SBB;2736772.473;1256158.935;47.4420016029,9.25202496067;8506211;6211;Arnegg;http://lod.opentransportdata.swiss/didok/8506211
AS;Amsteg-Silenen;AS;Amsteg-Silenen;600;46.54553;Immensee - Bellinzona - Chiasso;SBB;2694192.689;1181832.058;46.7810020225,8.67210555792;8505115;5115;Amsteg-Silenen;http://lod.opentransportdata.swiss/didok/8505115
ASZW;Amsteg Zugangsstollen West;ASZW;Amsteg Zugangsstollen West;5001;-0.1;Amsteg Zugangsstollen;SBB;2694088.661;1181293.994;46.7761771621,8.67063286695;8518488;18488;Amsteg Zugangsstollen West;http://lod.opentransportdata.swiss/didok/8518488
BAA;Baar;BAA;Baar;660;26.60834;Thalwil - Zug - Fluhmuhle;SBB;2682191.228;1227725.122;47.1953640193,8.52327156341;8502206;2206;Baar;http://lod.opentransportdata.swiss/didok/8502206
BAER;Barschwil;BAER;Barschwil;230;97.5245;Delemont Est - Basel SBB Ost;SBB;2602890.431;1249997.07;47.4007866647,7.47691414229;8500112;112;Bärschwil;http://lod.opentransportdata.swiss/didok/8500112
BALT;Baltschieder (Agl);BALT;Baltschieder (Agl);100;135.902;Lausanne - Simplon Tunnel I - Iselle;SBB;2633388.428;1127202.217;46.2954044512,7.87194871039;8515515;15515;Baltschieder (Agl);http://lod.opentransportdata.swiss/didok/8515515
BAV;Bavois;BAV;Bavois;210;24.87822;Daillens - Biel/Bienne;SBB;2532735.272;1171095.884;46.6876798742,6.55933482681;8501113;1113;Bavois;http://lod.opentransportdata.swiss/didok/8501113
BDFW;Burgdorf West (Abzw);BDF;Burgdorf;440;21.36394;Burgdorf West - Obermatt;SBB;2613441.006;1212255.137;47.0611837843,7.61555617745;8515377;15377;Burgdorf West (Abzw);http://lod.opentransportdata.swiss/didok/8515377
BEX;Bex;BEX;Bex;127;0.0;Bex - Villars;SBB;2566224.453;1122320.503;46.2514645551,7.00066986367;8501402;1402;Bex;http://lod.opentransportdata.swiss/didok/8501402
BEZ;Beznau (Agl);BEZ;Beznau (Agl);702;35.64741;Turgi - Koblenz - Waldshut;SBB;2661213.001;1268107.077;47.5608242134,8.25197531598;8503541;3541;Beznau (Agl);http://lod.opentransportdata.swiss/didok/8503541
BFG;Bifang AG (Spw);RTR;Rothrist;451;44.86;Aarburg-Oftringen - Rothrist Gleis 1;SBB;2634573.761;1240099.749;47.310870179,7.8958578897;8516022;16022;Bifang AG (Spw);http://lod.opentransportdata.swiss/didok/8516022
BGS;Brugg AG Sud (Abzw);BGS;Brugg AG Sud (Abzw);648;31.13589;Brugg Sud - Brugg Nord (VL);SBB;2658007.844;1258195.674;47.471977722,8.20809941079;8500342;342;Brugg AG Süd (Abzw);http://lod.opentransportdata.swiss/didok/8500342
BIAE;Biel/Bienne Aebistrasse;BI;Biel/Bienne;268;98.84323;Biel Depot Ost - Biel Aebistrasse;SBB;2585613.313;1219980.517;47.1306497899,7.24900952346;8515304;15304;Biel/Bienne Aebistrasse;http://lod.opentransportdata.swiss/didok/8515304
BIBD;Biel/Bienne Bozingenfeld/Champ;BIBD;Biel/Bienne Bozingenfeld/Champ;410;93.98099;Olten - Solothurn - Biel/Bienne;SBB;2589081.665;1223056.272;47.1583822841,7.29464806685;8518771;18771;Biel/Bienne Bözingenfeld/Champ;http://lod.opentransportdata.swiss/didok/8518771
BIDO;Biel/Bienne Depot Ost;BI;Biel/Bienne;268;98.11;Biel Depot Ost - Biel Aebistrasse;SBB;2586324.021;1220005.013;47.1308852303,7.25837605528;8515305;15305;Biel/Bienne Depot Ost;http://lod.opentransportdata.swiss/didok/8515305
BIO;Biel/Bienne Ost;BI;Biel/Bienne;265;97.62187;Biel Mett Abzweigung - Biel/Bienne Ost;SBB;2586391.131;1220646.806;47.1366594938,7.25924112237;8515307;15307;Biel/Bienne Ost;http://lod.opentransportdata.swiss/didok/8515307
BLG;Baldegg;BLG;Baldegg;651;15.92736;Hubeli - Beinwil - Lenzburg;SBB;2663786.678;1226423.532;47.185688941,8.28023153445;8502025;2025;Baldegg;http://lod.opentransportdata.swiss/didok/8502025
BN;Bern;BN;Bern;220;0.10552;Bern - Neuchatel Est (bif);SBB;2600037.945;1199749.812;46.9488322725,7.4391309556;8507000;7000;Bern;http://lod.opentransportdata.swiss/didok/8507000
BN;Bern;BN;Bern;450;106.15556;Olten Sud - Bern;SBB;2600037.945;1199749.812;46.9488322725,7.4391309556;8507000;7000;Bern;http://lod.opentransportdata.swiss/didok/8507000
BNBS;Bern Bumpliz Sud;BNBS;Bern Bumpliz Sud;250;92.99537;Lausanne Est - Bern;SBB;2596695.699;1198489.557;46.937487503,7.39523796561;8504106;4106;Bern Bümpliz Süd;http://lod.opentransportdata.swiss/didok/8504106
BNWF;Bern Wylerfeld;BNWF;Bern Wylerfeld;450;103.32913;Olten Sud - Bern;SBB;2601687.709;1201729.087;46.9666342489,7.46080853106;8507001;7001;Bern Wylerfeld;http://lod.opentransportdata.swiss/didok/8507001
BOCS;Bodio cunicolo di aggira. sud;BOCS;Bodio cunicolo di aggira. sud;5005;0.0;Bodio cunicolo di aggiramento;SBB;2714570.389;1136764.361;46.3724729729,8.92769649967;8518496;18496;Bodio cunicolo di aggira sud;http://lod.opentransportdata.swiss/didok/8518496
BOT;Bottighofen;BOT;Bottighofen;824;97.51655;Romanshorn - Konstanz;SBB;2733337.72;1278179.914;47.6407072085,9.21310411309;8506127;6127;Bottighofen;http://lod.opentransportdata.swiss/didok/8506127
BOV;Boveresse;BOV;Boveresse;219;29.47;Auvernier - Les Verrieres frontiere;SBB;2535771.652;1196781.06;46.9190139335,6.59540904462;8504213;4213;Boveresse;http://lod.opentransportdata.swiss/didok/8504213
BRGG;Brunegg;BRGG;Brunegg;647;7.0362;Brugg - Hendschiken Nord;SBB;2659089.544;1252473.086;47.4204148342,8.22169003246;8519041;19041;Brunegg;http://lod.opentransportdata.swiss/didok/8519041
BRU;Brunnen;BRU;Brunnen;600;20.5245;Immensee - Bellinzona - Chiasso;SBB;2689093.523;1206010.966;46.9991749495,8.61006762236;8505007;5007;Brunnen;http://lod.opentransportdata.swiss/didok/8505007
BSC;Bassecourt;BSC;Bassecourt;240;93.49732;Delemont - Delle;SBB;2585505.492;1242887.574;47.3366868408,7.24684620718;8500122;122;Bassecourt;http://lod.opentransportdata.swiss/didok/8500122
BSDO;Bassersdorf Ost (Vzw);BSDO;Bassersdorf Ost (Vzw);9783;252.16226;Bruttenertunnel Sud;SBB;2689955.1;1254784.65;47.4377095751,8.63113963011;8508328;8328;Bassersdorf Ost (Vzw);http://lod.opentransportdata.swiss/didok/8508328
BSHA;Hagnau (Abzw);BSJA;Basel St. Jakob;521;2.76121;Umfahrung Sud: Basel SBB RB I - Muttenz;SBB;2613883.909;1265661.376;47.5415318905,7.62303095533;8505032;5032;Hagnau (Abzw);http://lod.opentransportdata.swiss/didok/8505032
BSO;Basel SBB Ost (Abzw);BS;Basel SBB;500;0.531;Basel SBB - Olten - Luzern;SBB;2611819.423;1266035.449;47.5449363773,7.5956199098;8515387;15387;Basel SBB Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515387
BUB;Bubikon;BUB;Bubikon;740;68.65925;Rapperswil - Uster - Wallisellen Ost;SBB;2704732.083;1236472.122;47.2708409956,8.82271479896;8503122;3122;Bubikon;http://lod.opentransportdata.swiss/didok/8503122
BUC;Buckten;BUC;Buckten;503;28.815;Sissach - Laufelfingen - Olten;SBB;2630883.119;1250988.798;47.4089910659,7.84780054441;8500034;34;Buckten;http://lod.opentransportdata.swiss/didok/8500034
BUER;Buren an der Aare;BUER;Buren an der Aare;415;95.71034;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2594888.031;1220799.832;47.1381570944,7.37124281735;8500221;221;Büren an der Aare;http://lod.opentransportdata.swiss/didok/8500221
BUS;Busswil;BUS;Busswil;415;101.86418;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2590889.477;1216416.348;47.098684869,7.31862292512;8504415;4415;Busswil;http://lod.opentransportdata.swiss/didok/8504415
BWMS;Bern Weyermannshaus (Spw);BWMS;Bern Weyermannshaus (Spw);220;2.23397;Bern - Neuchatel Est (bif);BLS;2598104.087;1199793.487;46.9492222633,7.41372841447;8515647;15647;Bern Weyermannshaus (Spw);http://lod.opentransportdata.swiss/didok/8515647
BYE;Bussigny Est (bif);BY;Bussigny;200;6.33829;Renens VD Ouest - Vallorbe;SBB;2532488.449;1155231.902;46.5449587809,6.55843914447;8515312;15312;Bussigny Est (bif);http://lod.opentransportdata.swiss/didok/8515312
BZN;Bischofszell Nord;BZN;Bischofszell Nord;852;6.78324;Sulgen - Gossau SG;SBB;2735267.237;1262620.776;47.5004152503,9.23403531753;8506215;6215;Bischofszell Nord;http://lod.opentransportdata.swiss/didok/8506215
CAMO;Camorino (dira);CAMO;Camorino (dira);580;227.65367;CBT Est;SBB;2719599.595;1112679.259;46.1549772943,8.98686665328;8515733;15733;Camorino (dira);http://lod.opentransportdata.swiss/didok/8515733
CAMO;Camorino (dira);CAMO;Camorino (dira);593;227.65367;Verbindungslinie CBT Est Camorino;SBB;2719599.595;1112679.259;46.1549772943,8.98686665328;8515733;15733;Camorino (dira);http://lod.opentransportdata.swiss/didok/8515733
CAP;Capolago-Riva S. Vitale;CAP;Capolago-Riva S. Vitale;600;194.61388;Immensee - Bellinzona - Chiasso;SBB;2719534.984;1084642.939;45.9028373055,8.97890520587;8505304;5304;Capolago-Riva S Vitale;http://lod.opentransportdata.swiss/didok/8505304
CAST;Castione-Arbedo;CAST;Castione-Arbedo;600;147.525;Immensee - Bellinzona - Chiasso;SBB;2723662.151;1120315.449;46.2229216623,9.04146179352;8505212;5212;Castione-Arbedo;http://lod.opentransportdata.swiss/didok/8505212
CHE;Chenens;CHE;Chenens;250;49.622;Lausanne Est - Bern;SBB;2566515.858;1177652.068;46.7492108071,7.00042967076;8504025;4025;Chénens;http://lod.opentransportdata.swiss/didok/8504025
CHIB;Chiasso Ovest (bif);CHI;Chiasso;629;206.37929;Chiasso SM - Gruppo S - Chiasso;SBB;2723418.254;1077043.041;45.8337908649,9.02694664324;8515392;15392;Chiasso Ovest (bif);http://lod.opentransportdata.swiss/didok/8515392
CHIB;Chiasso Ovest (bif);CHI;Chiasso;637;206.36805;Chiasso Smistamento - Chiasso;SBB;2723418.254;1077043.041;45.8337908649,9.02694664324;8515392;15392;Chiasso Ovest (bif);http://lod.opentransportdata.swiss/didok/8515392
CHIG;Chiggiogna (c bin);CHIG;Chiggiogna (c bin);600;109.3837;Immensee - Bellinzona - Chiasso;SBB;2706401.461;1147073.312;46.4665390635,8.82391437499;8505243;5243;Chiggiogna (c bin);http://lod.opentransportdata.swiss/didok/8505243
