Region;project;bp_from;bp_to;km from;km to;distance;Bemerkungen;date from;date to;amount of weeks;"Umsetzung / 
Intervalltyp / Umleitung";reduction of capacity;bis_geopos;von Betriebspunkt
ROT;FbE25 BERG-AHAU 728-730, 91 (ex FbE20);BERG;SHAU;;;0;Totalsperrung;2025-02-23;2025-04-19;8.0;Sperre Strecke 24 Std;1.0;47.6109170232,9.16826008543;Siegershausen
ROT;Cluster SOB Ost 2024;HE;LSG;;;0;Verl. Nachtintervalle KW 17 - 27;2024-03-21;2024-07-03;15.0;Umsetzung;1.0;47.3196899626,9.08317001921;Lichtensteig
RSD;Stabilität auf der  Gotthardachse 750M;BRU;BRU;19.7;20.6;0.9;Anlagen Manko;2025-04-07;2025-09-28;25.0;Sperre Bahnhof Nacht;0.25;46.9991749495,8.61006762236;Brunnen
RSD;FbE25_ER_W_136-137-138_GL_A8-A9-A10-A68;ER;ER;41.6;42.6;0.333;FbE25;2025-06-01;2025-07-05;5.0;Sperre Bahnhof Nacht;0.5;46.8203393997,8.65045465313;Erstfeld
RSD;FbE25_ER_W_57-58-59-60-61_GL_A73;ER;ER;41.6;42.6;0.333;FbE25;2025-07-06;2025-08-09;5.0;Sperre Bahnhof Nacht;0.5;46.8203393997,8.65045465313;Erstfeld
RSD;FbE24_AP_AoE_W_11-12 und Gl1-61;AP;AP;92.5;93.5;1;FbE24;2024-06-24;2024-07-14;3.0;Sperre Bahnhof Tag;0.25;46.5107637997,8.689927873;Ambrì-Piotta
RSD;BZU23 Ambrì;AP;AP;92.95;93.3;0.35;BZU23;2027-03-01;2027-11-28;39.0;Sperre Strecke Tag;0.5;46.5107637997,8.689927873;Ambrì-Piotta
RSD;BEL-GIU, 3. Gleis/ Ind. (AS25);BEL;GIU;150.638;153.07;2.432;Anfragedossier;2024-01-01;2026-12-27;156.0;Umsetzung;;46.1738126869,9.00360006177;Giubiasco
RSD;Phase A10;BEL;GIU;150.638;151.31;0.672;Bellinzona W660-831-1;2025-01-21;2025-09-01;32.0;Sperre Strecke Nacht;0.25;46.1738126869,9.00360006177;Giubiasco
RSD;Phase A11;BEL;GIU;150.638;151.734;1.096;Bellinzona Sud 871 861-851;2025-09-11;2025-12-10;13.0;Sperre Strecke Nacht;0.25;46.1738126869,9.00360006177;Giubiasco
RSD;Diverse Bauphasen in die Strecke;VEZB;CAP;178.278;195.442;;Noch nicht definiert (Risiken);2022-02-01;2023-12-25;99.0;Sperre Strecke Nacht;0.25;45.9028373055,8.97890520587;Capolago-Riva S Vitale
RSD;FbE24_BAA-ZG_GL_327-92;BAA;ZG;27.339;28.264;1.925;FbE24;2024-04-01;2024-04-28;4.0;Sperre Strecke Nacht;0.5;47.1737069864,8.51504936752;Zug
RME;"Münsingen, AS25
Wendegleis";RUB;WCH;118.01;126.053;0.126053;"Koo mit Ausbau
Lötschberg-Basistunel (BLS)";2023-06-30;2029-12-06;336.0;Sperre Bahnhof 24 Std;0.5;46.8416120861,7.56885575439;Wichtrach
RME;"Gümligen Süd, AS25
Entflechtung";OST;RUB;113.25;118.01;0.11801;"Koo mit Ausbau
Lötschberg-Basistunel (BLS)";2023-06-30;2028-11-23;282.0;Sperre Strecke 24 Std;0.5;46.89916972,7.54536833414;Rubigen
RME;FbE24 TH-UTI Gleis 424;UTI;TH;131.45;135.53;0.13553;Koo mit Gleis 420;2024-01-15;2024-12-15;48.0;Sperre Strecke Nacht;;46.7548527757,7.62960576339;Thun
RME;;HAE;HAE;;;0;;2024-01-29;2024-05-26;17.0;Sperre Bahnhof Nacht;0.5;47.330267812,7.84381638329;Hägendorf
RME;;SW;SW;74.879;74.664;0.074664;Vsl. Schiebung nach 24;2023-02-01;2023-08-01;26.0;Sperre Bahnhof Nacht;0.25;47.2067172615,7.53194908407;Solothurn West
RME;Lengnau: Umbau Bahnhof (BehiG/LHand);LEN;LEN;87.676;88.119;0.088119;Zusätzlich Erneuerung Gl. 3;2025-01-01;2025-12-16;50.0;Sperre Bahnhof Nacht;0.5;47.1794313873,7.36655363682;Lengnau
RME;"ZEB; Solothurn-Wanzwil:
Leistungssteigerung ABS";SO;WANZ;79;68;0.068;"Unterbruch der Arbeiten wegen
wegen STW Ersatz RBC / Flankenschutz Wanzwil «1.Teil im 2025 und 2 Teil ab 2028»";2025-01-01;2029-10-16;250.0;Sperre Strecke Nacht;0.25;47.1982449674,7.69921296101;Wanzwil (Abzw)
RME;Langenthal Erweiterung PU;LTH;LTH;59.1;59.3;0.0593;;2022-01-01;2024-06-30;;Umsetzung;;47.2173029163,7.78471520185;Langenthal
RME;BZ Mitte, Migration rcs95 auf RCI Zelle LTH;OL;LTH;41.5;59.8;0.0598;;2025-01-01;2025-12-02;48.0;Sperre Strecke Nacht;;47.2173029163,7.78471520185;Langenthal
RME;Nacharbeiten Cluster SCHH_LN;LN;SCHH;38.1;59.7;0.0597;Div.;2025-08-02;2025-10-24;12.0;Sperre Strecke Nacht;0.25;46.9506473328,8.01515060209;Schüpfheim
